"Boost_Clock","Core_Speed","Manufacturer","Memory","Memory_Bus","Memory_Speed","Pixel_Rate","Process"
"1455 MHz ","1354 MHz","Nvidia","2048 MB ","128 Bit ","1752 MHz","47 GPixel/s","14m"
"1556 MHz ","1442 MHz","Nvidia","2048 MB ","128 Bit ","1752 MHz","50 GPixel/s","14m"
"1531 MHz ","1417 MHz","Nvidia","2048 MB ","128 Bit ","1752 MHz","49 GPixel/s","14m"
"1176 MHz ","1110 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1455 MHz ","1354 MHz","Nvidia","2048 MB ","128 Bit ","1752 MHz","47 GPixel/s","14m"
"1556 MHz ","1442 MHz","Nvidia","2048 MB ","128 Bit ","1752 MHz","50 GPixel/s","14m"
"1176 MHz ","1100 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1137 MHz ","1071 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1202 MHz ","1137 MHz","Nvidia","2048 MB ","256 Bit ","1550 MHz","38 GPixel/s","28m"
"1215 MHz ","1150 MHz","Nvidia","2048 MB ","256 Bit ","1575 MHz","39 GPixel/s","28m"
"1176 MHz ","1110 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1267 MHz ","1202 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","41 GPixel/s","28m"
"1176 MHz ","1110 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1137 MHz ","1071 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"1163 MHz ","1097 MHz","Nvidia","2048 MB ","256 Bit ","1552 MHz","37 GPixel/s","28m"
"1176 MHz ","1110 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1124 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1552 MHz","36 GPixel/s","28m"
"1150 MHz ","1084 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","37 GPixel/s","28m"
"1150 MHz ","1084 MHz","Nvidia","2048 MB ","256 Bit ","1552 MHz","37 GPixel/s","28m"
"1176 MHz ","1111 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1176 MHz ","1110 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1006 MHz ","928 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","32 GPixel/s","28m"
"1201 MHz ","1137 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","38 GPixel/s","28m"
"1176 MHz ","1098 MHz","Nvidia","2048 MB ","256 Bit ","1652 MHz","38 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","63 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1046 MHz ","967 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1527 MHz","35 GPixel/s","28m"
"1058 MHz ","980 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1046 MHz ","965 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1058 MHz ","980 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1527 MHz","35 GPixel/s","28m"
"1019 MHz ","941 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1085 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","35 GPixel/s","28m"
"1046 MHz ","967 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1085 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","35 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","256 Bit ","1552 MHz","35 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","35 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1079 MHz ","1019 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","35 GPixel/s","28m"
"1019 MHz ","941 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","33 GPixel/s","28m"
"1137 MHz ","1058 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","36 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1058 MHz ","980 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","34 GPixel/s","28m"
"1006 MHz ","928 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","32 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","4096 MB ","512 Bit ","1502 MHz","69 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","4096 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1059 MHz ","993 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1059 MHz ","993 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1111 MHz ","1046 MHz","Nvidia","2048 MB ","192 Bit ","1652 MHz","27 GPixel/s","28m"
"1058 MHz ","993 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","4096 MB ","192 Bit ","1502 MHz","53 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","256 Bit ","1502 MHz","31 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1006 MHz ","928 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1176 MHz ","1098 MHz","Nvidia","2048 MB ","192 Bit ","1652 MHz","28 GPixel/s","28m"
"1111 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1652 MHz","27 GPixel/s","28m"
"1110 MHz ","1032 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1046 MHz ","967 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1059 MHz ","980 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","4096 MB ","192 Bit ","1502 MHz","47 GPixel/s","28m"
"1097 MHz ","1019 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1097 MHz ","1019 MHz","Nvidia","4096 MB ","192 Bit ","1502 MHz","53 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1020 MHz ","941 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1527 MHz","26 GPixel/s","28m"
"1110 MHz ","1032 MHz","Nvidia","4096 MB ","192 Bit ","1502 MHz","53 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1111 MHz ","1032 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1527 MHz","26 GPixel/s","28m"
"1124 MHz ","1046 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1084 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1137 MHz ","1059 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1150 MHz ","1084 MHz","Nvidia","2048 MB ","192 Bit ","1525 MHz","28 GPixel/s","28m"
"1059 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1124 MHz ","1046 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","6144 MB ","192 Bit ","1502 MHz","71 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1527 MHz","26 GPixel/s","28m"
"980 MHz ","915 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","24 GPixel/s","28m"
"1058 MHz ","967 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1198 MHz ","1106 MHz","Nvidia","2048 MB ","192 Bit ","1702 MHz","29 GPixel/s","28m"
"1032 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","4096 MB ","192 Bit ","1502 MHz","50 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1527 MHz","26 GPixel/s","28m"
"1150 MHz ","1085 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","28 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","4096 MB ","192 Bit ","1502 MHz","53 GPixel/s","28m"
"1111 MHz ","1046 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1111 MHz ","1046 MHz","Nvidia","6144 MB ","192 Bit ","1502 MHz","53 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1032 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1111 MHz ","1046 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1058 MHz ","993 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","3072 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","192 Bit ","1527 MHz","27 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1032 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"888 MHz ","823 MHz","Nvidia","3072 MB ","192 Bit ","1400 MHz","21 GPixel/s","28m"
"888 MHz ","823 MHz","Nvidia","1536 MB ","192 Bit ","1400 MHz","21 GPixel/s","28m"
"1059 MHz ","993 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1058 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","27 GPixel/s","28m"
"1137 MHz ","1072 MHz","Nvidia","1024 MB ","192 Bit ","1253 MHz","27 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1527 MHz","26 GPixel/s","28m"
"1032 MHz ","980 MHz","Nvidia","1024 MB ","192 Bit ","1253 MHz","25 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","1024 MB ","192 Bit ","1276 MHz","26 GPixel/s","28m"
"1072 MHz ","1006 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1089 MHz ","1032 MHz","Nvidia","1024 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1098 MHz ","1033 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"1033 MHz ","980 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","25 GPixel/s","28m"
"1085 MHz ","1020 MHz","Nvidia","2048 MB ","192 Bit ","1502 MHz","26 GPixel/s","28m"
"888 MHz ","823 MHz","Nvidia","1024 MB ","128 Bit ","1000 MHz","14 GPixel/s","28m"
"1304 MHz ","1202 MHz","Nvidia","4096 MB ","256 Bit ","1800 MHz","83 GPixel/s","28m"
"1393 MHz ","1291 MHz","Nvidia","8192 MB ","256 Bit ","1800 MHz","39 GPixel/s","28m"
"1393 MHz ","1291 MHz","Nvidia","4096 MB ","256 Bit ","1800 MHz","89 GPixel/s","28m"
"1216 MHz ","1126 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","78 GPixel/s","28m"
"1266 MHz ","1165 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","81 GPixel/s","28m"
"1114 MHz ","1025 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","107 GPixel/s","28m"
"1140 MHz ","1051 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","109 GPixel/s","28m"
"1355 MHz ","1253 MHz","Nvidia","12288 MB ","384 Bit ","1803 MHz","260 GPixel/s","28m"
"1355 MHz ","1253 MHz","Nvidia","6144 MB ","384 Bit ","1803 MHz","130 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1266 MHz ","1165 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","122 GPixel/s","28m"
"1241 MHz ","1152 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","119 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1774 MHz","124 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1774 MHz","124 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1279 MHz ","1178 MHz","Nvidia","12288 MB ","384 Bit ","1775 MHz","246 GPixel/s","28m"
"1304 MHz ","1203 MHz","Nvidia","6144 MB ","384 Bit ","1774 MHz","125 GPixel/s","28m"
"1190 MHz ","1102 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","114 GPixel/s","28m"
"1241 MHz ","1152 MHz","Nvidia","6144 MB ","384 Bit ","1800 MHz","119 GPixel/s","28m"
"1241 MHz ","1152 MHz","Nvidia","6144 MB ","384 Bit ","1800 MHz","119 GPixel/s","28m"
"1317 MHz ","1216 MHz","Nvidia","6144 MB ","384 Bit ","1800 MHz","126 GPixel/s","28m"
"1279 MHz ","1178 MHz","Nvidia","6144 MB ","384 Bit ","1775 MHz","123 GPixel/s","28m"
"1304 MHz ","1206 MHz","Nvidia","6144 MB ","384 Bit ","1820 MHz","125 GPixel/s","28m"
"1317 MHz ","1216 MHz","Nvidia","6144 MB ","384 Bit ","1800 MHz","126 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","124 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","124 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","248 GPixel/s","28m"
"1304 MHz ","1203 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","125 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","207 GPixel/s","28m"
"1190 MHz ","1102 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","114 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","124 GPixel/s","28m"
"1190 MHz ","1102 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","228 GPixel/s","28m"
"1190 MHz ","1102 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","114 GPixel/s","28m"
"1190 MHz ","1102 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","114 GPixel/s","28m"
"1228 MHz ","1140 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","118 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","248 GPixel/s","28m"
"1304 MHz ","1203 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","125 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1774 MHz","124 GPixel/s","28m"
"1228 MHz ","1140 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","118 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","124 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1317 MHz ","1216 MHz","Nvidia","6144 MB ","384 Bit ","1800 MHz","126 GPixel/s","28m"
"1291 MHz ","1190 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","124 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1216 MHz ","1127 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","78 GPixel/s","28m"
"1317 MHz ","1216 MHz","Nvidia","12288 MB ","384 Bit ","1800 MHz","253 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","12288 MB ","384 Bit ","1753 MHz","207 GPixel/s","28m"
"1329 MHz ","1228 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","85 GPixel/s","28m"
"1216 MHz ","1127 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","78 GPixel/s","28m"
"1076 MHz ","1000 MHz","Nvidia","6144 MB ","384 Bit ","1753 MHz","103 GPixel/s","28m"
"1304 MHz ","1203 MHz","Nvidia","4096 MB ","256 Bit ","1800 MHz","83 GPixel/s","28m"
"1216 MHz ","1126 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","78 GPixel/s","28m"
"1216 MHz ","1126 MHz","Nvidia","4096 MB ","256 Bit ","1753 MHz","78 GPixel/s","28m"
